universe,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_seconds,transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs,nn_overlap_at_5,nn_overlap_at_5_p10,nn_overlap_at_10,nn_overlap_at_10_p10,ari_C3,ari_C5,ari_C8,ari_mean,anomaly_recall_5pct,anomaly_precision_5pct,anomaly_score_spearman,anomaly_top10_overlap,sparsity_ratio
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,6,0.7,50000,300,,0.0010646670125424862,4.954217001795769e-05,0.2273455411195755,0.12022261842550969,0.10289592680671067,0.2926015829001144,0.9979433432435719,50000,0.19855595667870035,0.0,0.2564380264741276,0.1,0.42917979714400906,0.260470037819526,0.15750681525350427,0.28238555007234645,0.7380952380952381,0.7380952380952381,0.8984831439058092,0.8,0.85
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,7,0.7,50000,300,,0.001003333367407322,3.0582770705223083e-05,0.21172566572204232,0.11264523471205892,0.09565136733490326,0.27587601896774233,0.9657325741173366,50000,0.2045728038507822,0.0,0.27015643802647415,0.1,0.550400244126215,0.1762870015281681,0.24900290323379098,0.3252300496293914,0.7380952380952381,0.7380952380952381,0.9105172634442239,0.7,0.85
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,8,0.7,50000,300,,0.001231249887496233,6.27501867711544e-05,0.182198166847229,0.11826668824962457,0.10126638576065516,0.28637204248700493,0.9754634503747409,50000,0.19494584837545126,0.0,0.249338146811071,0.1,0.5832286187507362,0.19228835984575818,0.16653783565902772,0.31401827141850736,0.7380952380952381,0.7380952380952381,0.8955624985362165,0.7,0.85
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,9,0.7,50000,300,,0.005237125325948,5.2167102694511414e-05,0.2435414157807827,0.12266889633732504,0.10459167668219926,0.2974842230362595,0.9720003355355631,50000,0.19638989169675092,0.0,0.2450060168471721,0.1,0.3878184606940976,0.17584681530690582,0.1571924742405049,0.24028591674716945,0.7380952380952381,0.7380952380952381,0.8838735391440796,0.7,0.85
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,0,0.7,50000,500,,0.004724666941910982,0.0001871250569820404,0.23563220910727978,0.11274895550309469,0.0956247826575859,0.2769723999437301,0.9748134003244655,50000,0.20601684717208185,0.0,0.25860409145607705,0.1,0.5576251454379499,0.21524123388607766,0.2117173426339061,0.3281945739859779,0.8809523809523809,0.8809523809523809,0.9041466058624945,0.9,0.75
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,1,0.7,50000,500,,0.005180957727134228,6.829202175140381e-05,0.17567166732624173,0.11580545748062437,0.09931409615325304,0.2795432841136033,1.0055106396176263,50000,0.21395908543922987,0.0,0.27749699157641394,0.1,0.529923427023847,0.2673646120778086,0.3384669769534734,0.37858500535170964,0.7619047619047619,0.7619047619047619,0.9163572786006564,0.9,0.75
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,2,0.7,50000,500,,0.0013231663033366203,6.541609764099121e-05,0.15406070789322257,0.12479677553839673,0.10776437964523772,0.2977748652028007,0.9678478047082248,50000,0.19807460890493384,0.0,0.2575210589651023,0.1,0.39666945017742633,0.1863472654047193,0.16158070656159143,0.24819914071457902,0.6904761904761905,0.6904761904761905,0.8751988863535227,0.8,0.75
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,3,0.7,50000,500,,0.00247329194098711,0.000112209003418684,0.18468391615897417,0.12269309925450157,0.10442538313020922,0.298016568222626,0.9682550198898101,50000,0.19037304452466905,0.0,0.25078219013237063,0.1,0.4266184297081378,0.30195346288666897,0.22935139403997878,0.3193077622115952,0.6904761904761905,0.6904761904761905,0.8813474252466683,0.6,0.75
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,4,0.7,50000,500,,0.0026283329352736473,0.0002562091685831547,0.23297050036489964,0.10986974366637843,0.09223419927222254,0.2730986169682315,0.9920472247811971,50000,0.21756919374247896,0.0,0.2807460890493382,0.1,0.5390949739369593,0.37310672182360644,0.2696019829581212,0.39393455957289564,0.7380952380952381,0.7380952380952381,0.9086877222859779,0.8,0.75
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,5,0.7,50000,500,,0.0011153328232467175,5.212519317865372e-05,0.15341695817187428,0.12266775516097794,0.10571246846680737,0.2946153826784846,0.9503126182597372,50000,0.18411552346570398,0.0,0.23670276774969917,0.1,0.4759089234890275,0.2033837915203863,0.20049995377603116,0.29326422292848164,0.6904761904761905,0.6904761904761905,0.8848161529762482,0.7,0.75
