universe,protocol,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_seconds,transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs,nn_overlap_at_5,nn_overlap_at_5_p10,nn_overlap_at_10,nn_overlap_at_10_p10,ari_C3,ari_C5,ari_C8,ari_mean,anomaly_recall_5pct,anomaly_precision_5pct,anomaly_score_spearman,anomaly_top10_overlap,sparsity_ratio
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,11,0.7,50000,300,,0.009712792001664639,0.0011013341136276722,0.7087997091002762,0.8947275919074371,0.8975576228389349,0.9375041765862316,0.10527240809256298,50000,0.058243080625752106,0.0,0.07821901323706378,0.0,0.2043776406880232,0.1945697288460388,0.13551224073797913,0.17815320342401372,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,12,0.7,50000,300,,0.008501208387315273,0.0009717079810798168,0.4410084169358015,0.8947086327390025,0.8974102561801822,0.9379588661084546,0.10529136726099754,50000,0.05030084235860409,0.0,0.07509025270758124,0.0,0.2532897073761239,0.18649796935891677,0.1712842680288342,0.20369064825462493,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,13,0.7,50000,300,,0.006010500248521566,0.004811124876141548,0.7789708329364657,0.8944323576694255,0.8972575657408538,0.9379636766321787,0.1055676423305743,50000,0.051263537906137184,0.0,0.07063778580024067,0.0,0.14972804246781762,0.12876257343660594,0.10853848163195821,0.12900969917879393,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,14,0.7,50000,300,,0.005480082705616951,0.00047454191371798515,0.6309834998100996,0.8950885844755962,0.8978519255290318,0.9384554796338872,0.10491141552440372,50000,0.05270758122743682,0.0,0.07737665463297232,0.0,0.22530729045438963,0.19732808562956738,0.1705191605180402,0.19771817886733242,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,15,0.7,50000,300,,0.005918459035456181,0.0007418747991323471,0.9907364579848945,0.8940221214273,0.8968873760128178,0.9379737553602786,0.10597787857269991,50000,0.043802647412755726,0.0,0.06738868832731648,0.0,0.12456429755491888,0.12141901186054897,0.09143892611837029,0.11247407851127939,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,16,0.7,50000,300,,0.007585334125906229,0.0005492502823472023,0.5639161672443151,0.8948795465476744,0.8976275979862044,0.9375281118059337,0.10512045345232551,50000,0.048134777376654635,0.0,0.07123947051744885,0.0,0.21116713816443508,0.15909098922488168,0.15302379972383914,0.17442730903771864,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,17,0.7,50000,300,,0.007025083061307669,0.0006632078438997269,0.6987679158337414,0.8948419190989264,0.8975829193922278,0.937755209602668,0.10515808090107343,50000,0.06161251504211793,0.0,0.08231046931407943,0.0,0.1898248179792022,0.2075889967824219,0.20316344512140783,0.20019241996101064,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,18,0.7,50000,300,,0.006551750004291534,0.0008559171110391617,0.698482166044414,0.8946912781915961,0.897351963794152,0.9377372897256768,0.1053087218084039,50000,0.0457280385078219,0.0,0.07123947051744885,0.0,0.20010845268693736,0.16084482373522957,0.171689500206351,0.17754759220950597,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,19,0.7,50000,300,,0.0074674999341368675,0.003566291183233261,0.49145837500691414,0.8944254006402845,0.8972862694094617,0.937882550822241,0.10557459935971536,50000,0.048616125150421186,0.0,0.07196149217809868,0.0,0.12196873671984683,0.1244126897601747,0.10568070837260947,0.11735404495087699,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,0,0.7,50000,300,,0.005273750051856041,0.0007056249305605888,0.283007999882102,0.1471135302442777,0.12982972901090611,0.3421382163920044,0.9001855395765073,50000,0.17424789410348976,0.0,0.23164861612515042,0.1,0.28455652493453143,0.22582928609939598,0.1906348542614189,0.23367355509844878,0.7380952380952381,0.7380952380952381,0.8659910190609702,0.4,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,1,0.7,50000,300,,0.005871166009455919,0.0005437498912215233,0.5690563749521971,0.12505983554393194,0.10621407975394515,0.3032323723632444,0.9575938680246574,50000,0.19494584837545126,0.0,0.2548736462093863,0.1,0.49755044124582887,0.3398050717684704,0.22742139393393668,0.354925635649412,0.6666666666666666,0.6666666666666666,0.8935535184336344,0.5,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,2,0.7,50000,300,,0.006620875094085932,0.001354125328361988,0.4437892911955714,0.13179547467898162,0.11339753643835448,0.314419168473586,0.9304990110000156,50000,0.20072202166064984,0.0,0.2496991576413959,0.1,0.4261557242914863,0.2129182166684887,0.24445069881493275,0.2945082132583026,0.6190476190476191,0.6190476190476191,0.8916531510658016,0.5,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,3,0.7,50000,300,,0.005629000253975391,0.0005182498134672642,0.3538092910312116,0.13940064310014952,0.12232047185031664,0.32765688233374424,0.9045177977827056,50000,0.19133574007220217,0.0,0.2509025270758123,0.1,0.49581711309115106,0.3008924477807434,0.20363959744320478,0.3334497194383664,0.7142857142857143,0.7142857142857143,0.8903901986730592,0.6,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,4,0.7,50000,300,,0.007985124830156565,0.0005213329568505287,0.40907625015825033,0.1327487794498658,0.11434902838802696,0.3188391573218319,0.9222227461203202,50000,0.1886883273164862,0.0,0.2522262334536703,0.1,0.5857887656593226,0.18528817685659152,0.1939418591175324,0.3216729338778155,0.7380952380952381,0.7380952380952381,0.8840794516583411,0.6,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,5,0.7,50000,300,,0.0068250419571995735,0.0018846248276531696,0.49018670804798603,0.14084823484788786,0.12470109877475827,0.3301841503230139,0.9009983126651284,50000,0.1829121540312876,0.0,0.24524669073405536,0.1,0.2464769910785144,0.3274316472788369,0.19590928277370914,0.2566059737103535,0.7142857142857143,0.7142857142857143,0.8778700402833215,0.4,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,6,0.7,50000,300,,0.005395625252276659,0.0006368751637637615,0.2931195837445557,0.12614543297686293,0.10753169622056852,0.3068297596764912,0.9472276961405972,50000,0.2064981949458484,0.0,0.25836341756919373,0.1,0.3332976035943456,0.29273824590604536,0.23704585045108492,0.28769389998382533,0.6666666666666666,0.6666666666666666,0.888612266338333,0.6,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,7,0.7,50000,300,,0.005264291074126959,0.0006159166805446148,0.3916570423170924,0.145424461822933,0.12928022009903944,0.3357816264249712,0.8916043415195553,50000,0.19253910950661854,0.0,0.24584837545126356,0.1,0.4848645167381667,0.2129291766444805,0.18058058401377378,0.29279142579880696,0.6190476190476191,0.6190476190476191,0.8917206942181388,0.5,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,8,0.7,50000,300,,0.004472999833524227,0.0007768329232931137,0.4319940423592925,0.12925743285834573,0.11097343323793601,0.311289448606204,0.9219324839870388,50000,0.18339350180505415,0.0,0.24259927797833936,0.1,0.5101717972281992,0.18456233135500907,0.23195457549914372,0.3088962346941173,0.6666666666666666,0.6666666666666666,0.899653877938859,0.5,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,9,0.7,50000,300,,0.0048525407910346985,0.0006681247614324093,0.6717304168269038,0.13820096150892416,0.12047305810903808,0.32633058871064574,0.9168992181273333,50000,0.1776173285198556,0.0,0.23164861612515042,0.1,0.43312324388939416,0.2618573147020328,0.19342096910642184,0.2961338425659496,0.6666666666666666,0.6666666666666666,0.8816380071800671,0.6,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,10,0.7,50000,300,,0.0061999158933758736,0.000547042116522789,0.5883330418728292,0.14146848634353296,0.12398349617190108,0.33247247934600166,0.9030266470308683,50000,0.18387484957882072,0.0,0.23910950661853192,0.1,0.42475170078731944,0.279376934917881,0.19977891326037964,0.30130251632186006,0.7142857142857143,0.7142857142857143,0.8831005569068832,0.6,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,11,0.7,50000,300,,0.011419874615967274,0.0013439999893307686,0.47836087504401803,0.12466474484850557,0.10602275724614757,0.30393310374140936,0.9788678213645634,50000,0.20481347773766545,0.0,0.2607701564380265,0.1,0.6085990942275337,0.3508943766093538,0.28372703473134386,0.4144068351894104,0.7380952380952381,0.7380952380952381,0.8872227175851418,0.5,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,12,0.7,50000,300,,0.006465458311140537,0.000555708073079586,0.4471737090498209,0.14009065350030217,0.12331436759413272,0.3303495408316077,0.8970856848677813,50000,0.19133574007220217,0.0,0.24801444043321302,0.1,0.5445146731912412,0.26425779681952355,0.22308106908024958,0.3439511796970048,0.6190476190476191,0.6190476190476191,0.8994435322517504,0.6,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,13,0.7,50000,300,,0.004567707888782024,0.0005520000122487545,0.40703191701322794,0.15080298009062212,0.13353509738597436,0.3473905498521558,0.889943631945493,50000,0.17232250300842358,0.0,0.2279181708784597,0.1,0.390358155578078,0.19062036372418595,0.15213392152413613,0.2443708136088,0.6904761904761905,0.6904761904761905,0.8694651837006453,0.5,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,14,0.7,50000,300,,0.007415333762764931,0.0011996668763458729,0.4692917917855084,0.12453394467390459,0.10512943031836508,0.30522554360701826,0.9783690880274097,50000,0.19855595667870035,0.0,0.2545126353790614,0.1,0.6509026845227305,0.4234897976483905,0.26351768433483413,0.44597005550198504,0.7380952380952381,0.7380952380952381,0.8910106128485058,0.4,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,15,0.7,50000,300,,0.006468749605119228,0.0013269167393445969,0.6163964169099927,0.16092667697724697,0.14565935849786493,0.36159866261422124,0.8756497667093761,50000,0.1667870036101083,0.0,0.21167268351383875,0.0,0.2034244124408776,0.15543139377974205,0.13227165666195845,0.1637091542941927,0.6666666666666666,0.6666666666666666,0.8631328563350876,0.4,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,16,0.7,50000,300,,0.007671666331589222,0.0010539591312408447,0.5783273749984801,0.12470750184195847,0.10479035141757032,0.3078249472656952,0.9365253540134225,50000,0.20770156438026474,0.0,0.2666666666666667,0.1,0.5729207769086441,0.30972419934303025,0.24947341726926747,0.3773727978403139,0.6190476190476191,0.6190476190476191,0.9010841407841863,0.5,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_int8,20,3.0,17,0.7,50000,300,,0.011016166768968105,0.0013801655732095242,0.4758467501960695,0.125199002592269,0.10609617690640982,0.3058389840656625,0.9431864534643262,50000,0.20240673886883273,0.0,0.24945848375451266,0.1,0.5787684892258473,0.3402692573897331,0.2729176363450954,0.397318460986892,0.6190476190476191,0.6190476190476191,0.899214471047199,0.5,0.85
