universe,protocol,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_seconds,transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs,nn_overlap_at_5,nn_overlap_at_5_p10,nn_overlap_at_10,nn_overlap_at_10_p10,ari_C3,ari_C5,ari_C8,ari_mean,anomaly_recall_5pct,anomaly_precision_5pct,anomaly_score_spearman,anomaly_top10_overlap,sparsity_ratio
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,29,0.7,50000,100,,0.005864061000011134,0.001006980000056501,0.9951057880002736,0.10431117333118584,0.08830362308804895,0.2552487725411048,0.9651418094112131,50000,0.24976152623211445,0.0,0.3055643879173291,0.1,0.514387060239597,0.22425333197942324,0.39683826475901607,0.37849288565934547,0.8095238095238095,0.8095238095238095,0.9259913097018215,0.9,0.9666666666666667
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,30,0.7,50000,100,,0.005552739999984624,0.0010286890001225402,1.0225996180001857,0.10112875219200564,0.08656562974475335,0.24289416773365508,0.9481268873243385,50000,0.26534181240063587,0.0,0.31709062003179656,0.1,0.6577029817105018,0.5744933778167808,0.2992453076961753,0.5104805557411526,0.8888888888888888,0.8888888888888888,0.9356033924751956,0.9,0.9666666666666667
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,31,0.7,50000,100,,0.005988420999983646,0.00129900899992208,1.0450490299999728,0.11227775350444735,0.09487777427188254,0.27624221086800343,0.9330703660572193,50000,0.21828298887122413,0.0,0.26828298887122415,0.1,0.6900429712870952,0.659836034823656,0.2747014102172633,0.5415268054426715,0.9047619047619048,0.9047619047619048,0.9216340362299758,0.9,0.9666666666666667
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,32,0.7,50000,100,,0.0058841710001615866,0.0015003299999989395,0.978369548000046,0.1064012590879527,0.09224900398266661,0.2530369503181965,0.9648336344542191,50000,0.27376788553259146,0.0,0.32607313195548493,0.1,0.5076332335502267,0.2595516657360589,0.21509757341261465,0.32742749089963347,0.8095238095238095,0.8095238095238095,0.9265913144472981,0.9,0.9666666666666667
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,33,0.7,50000,100,,0.007423311000366084,0.0012228499999764608,1.0081482289997439,0.09631286162137113,0.08047209625082152,0.239995708852474,0.98993883080604,50000,0.2742448330683625,0.0,0.325516693163752,0.1,0.5455812927893955,0.2660707137602924,0.388033381058171,0.3998951292026196,0.873015873015873,0.873015873015873,0.9370180062512689,0.9,0.9666666666666667
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,34,0.7,50000,100,,0.005461650000142981,0.0010114299998349452,0.9414174270000331,0.0977446157503918,0.08229456293476117,0.24074172215508313,1.005122092138085,50000,0.2718600953895072,0.0,0.32829888712241656,0.1,0.4263732882249198,0.633086279140845,0.4288142963836423,0.4960912879164691,0.8412698412698413,0.8412698412698413,0.941260310558572,0.9,0.9666666666666667
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,35,0.7,50000,100,,0.009274609999920358,0.0009906200002660626,0.9508507680002367,0.1097359709177742,0.09396317409358235,0.2657303663007297,0.9479207851036981,50000,0.248489666136725,0.0,0.29872813990461045,0.1,0.6008983093091332,0.30578542170572653,0.22681759842952598,0.37783377648146194,0.8412698412698413,0.8412698412698413,0.9231671332223336,0.9,0.9666666666666667
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,36,0.7,50000,100,,0.005893439999908878,0.0011200700000699726,0.9629848079998737,0.1018899407224259,0.0860955796719497,0.2492917786615334,0.9919970007846649,50000,0.2705882352941177,0.0,0.32360890302066775,0.1,0.5566872382779808,0.2965891356574372,0.2798369546817948,0.3777044428724043,0.7777777777777778,0.7777777777777778,0.9269066990842659,0.9,0.9666666666666667
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,37,0.7,50000,100,,0.005594419999852107,0.000825399999939691,0.7995591750000131,0.1226371424836069,0.10856225285617788,0.28519361220642925,0.9212815010479006,50000,0.22098569157392686,0.0,0.27090620031796503,0.1,0.443887077697113,0.3786067332474931,0.2239773715110965,0.34882372748523416,0.7777777777777778,0.7777777777777778,0.9205236802649428,0.9,0.9666666666666667
top_100__preCOVID__all_test,preCOVID,all_test,sparse_jl,30,1.0,38,0.7,50000,100,,0.008991619999960676,0.0023392200000671437,0.8716824660000384,0.11493741655726906,0.09963890722447077,0.27433966562342227,1.0699371411739604,50000,0.27647058823529413,0.0,0.33012718600953894,0.1,0.4962161640579264,0.5102059433756401,0.4916340236414352,0.4993520436916672,0.873015873015873,0.873015873015873,0.9474107992096179,0.9,0.9666666666666667
